"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2016-06-06T12:37:57.565+10:00","0.0","13.13"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2016-06-06T12:38:10.726+10:00","0.0","6.99"
